Image burst: T+11.4s → T+151.5s  (30574 writes, 567KB approx)
T+    11.5s [W←cam] b500
T+    11.6s [W←cam] b540
T+    11.6s [W→cam] <REDACTED_ID>
T+    11.6s [W←cam] faf5000230052b87f018010101021c0101021c010109da02192a170a12090101
T+    11.6s [W→cam] fdab000211010487b31303f01801010101010319e000
T+    11.6s [W←cam] <REDACTED_ID>
T+    11.6s [W←cam] fb00
T+    11.7s [W→cam] fdac00021c052c94f01801010102080101020801010bda0205aa01020818b3a1
T+    11.7s [W←cam] fb76000211010494b41303f018010101010103c66f00
T+    11.7s [W→cam] fded000237042b950b0101010102230101022301010cda02200a1e0a140a1209
T+    11.7s [W←cam] fb7700021e052b88f118010101020a0101020a01010dda0207a2010408011018
T+    11.8s [W→cam] fe00
T+    11.8s [W←cam] fbb8000211010495b313020b01010101010103f72e00
T+    11.8s [W←cam] fbb9000222042c890b01010101020e0101020e010107da020b12090802100818
T+    11.8s [W→cam] feae000211010488b31303f118010101010103cc3800
T+    11.8s [W→cam] <REDACTED_ID>
T+    11.8s [W←cam] <REDACTED_ID>
T+    11.8s [W→cam] c0000000a5010000
T+    11.9s [W←cam] fbc0
T+    11.9s [W→cam] feaf000211010489b413020b010101010101033cb500
T+    11.9s [W←cam] c040000000
T+    11.9s [W←cam] c04138cbe313381114c7c0c0a0e7e619d2d6e0006431b033b3f4b0b0b4b1b3b4
T+    11.9s [W→cam] c080
T+    11.9s [W←cam] fc00
T+    11.9s [W←cam] <REDACTED_ID>
T+    11.9s [W←cam] fc3a000230052b8af318010101021c0101021c01010ada02192a170a12090801
T+    12.0s [W→cam] fef000021101048ab31303f318010101010103b42600
T+    12.0s [W←cam] fc40
T+    12.1s [W→cam] fef1000241042b960c01010101022d0101022d01010ada022a7a280a12090801
T+    12.2s [W←cam] fcbb000211010496b313020c01010101010103b2cc00
T+    12.2s [W→cam] ff00
T+    12.2s [W←cam] fcbc00021c042c8b0c01010101020801010208010108da02058201020803b7d6
T+    12.2s [W←cam] fcbd000242052b8cf418010101022e0101022e01010bda022b8a01280a120908
T+    12.2s [W→cam] ffb200021101048bb413020c01010101010103849400
T+    12.3s [W←cam] fcc0
T+    12.3s [W→cam] ffb300021101048cb31303f418010101010103fdc800
T+    12.4s [W←cam] fd00
T+    12.4s [W→cam] ffb400021c052c97f31801010102080101020801010bda0205aa010208149454
T+    12.4s [W←cam] fd7e000211010497b41303f318010101010103827e00
T+    12.4s [W→cam] ffc0
T+    12.5s [W←cam] fd7f00021e052b8df618010101020a0101020a01010dda0207a2010408011014
T+    12.5s [W→cam] f03500021101048db31303f61801010101010381d200
